Customer_ID,Customer_Name,City,Age_Group,Gender,Recency_Days,Frequency,Monetary,Avg_Order_Value,R_Score,F_Score,M_Score,RFM_Total,Customer_Segment
CUST3843,Customer_209,Bengaluru,36-45,Female,181,1,37727.1,37727.1,2,1,1,4,Lost
CUST4888,Customer_13,Pune,36-45,Male,202,1,40275.15,40275.15,2,1,1,4,Lost
CUST9567,Customer_218,Delhi,36-45,Male,203,1,33193.9,33193.9,2,1,1,4,Lost
CUST3677,Customer_459,Patna,26-35,Female,203,1,17041.21,17041.21,2,1,1,4,Lost
CUST5057,Customer_158,Patna,46-55,Female,208,1,30227.94,30227.94,2,1,1,4,Lost
CUST2812,Customer_249,Gaya,46-55,Male,218,1,767.61,767.61,2,1,1,4,Lost
CUST2537,Customer_32,Bengaluru,26-35,Female,220,1,1005.21,1005.21,2,1,1,4,Lost
CUST1258,Customer_443,Hyderabad,36-45,Male,229,1,47389.09,47389.09,2,1,1,4,Lost
CUST6432,Customer_194,Mumbai,56-65,Male,231,1,46021.88,46021.88,2,1,1,4,Lost
CUST6621,Customer_104,Mumbai,18-25,Female,233,1,34477.47,34477.47,2,1,1,4,Lost
CUST5063,Customer_50,Mumbai,26-35,Female,234,1,15831.03,15831.03,2,1,1,4,Lost
CUST2231,Customer_38,Delhi,46-55,Male,235,1,1144.78,1144.78,2,1,1,4,Lost
CUST9642,Customer_162,Delhi,46-55,Male,242,1,42454.26,42454.26,2,1,1,4,Lost
CUST9284,Customer_212,Kolkata,36-45,Female,261,1,19210.3,19210.3,2,1,1,4,Lost
CUST4488,Customer_414,Kolkata,36-45,Female,268,1,47539.35,47539.35,2,1,1,4,Lost
CUST1104,Customer_328,Hyderabad,56-65,Female,275,1,90746.36,90746.36,1,1,2,4,Lost
CUST4132,Customer_47,Unknown,36-45,Female,276,1,7894.56,7894.56,1,2,1,4,Lost
CUST2157,Customer_31,Unknown,56-65,Male,278,1,86397.04,86397.04,1,1,2,4,Lost
CUST2671,Customer_58,Delhi,46-55,Male,285,1,23398.57,23398.57,1,2,1,4,Lost
CUST9364,Customer_352,Gaya,56-65,Female,287,1,99559.14,99559.14,1,1,2,4,Lost
CUST6136,Customer_328,Hyderabad,18-25,Male,288,1,71273.3,71273.3,1,1,2,4,Lost
CUST1962,Customer_116,Delhi,18-25,Male,291,1,55802.3,55802.3,1,1,2,4,Lost
CUST9488,Customer_147,Pune,36-45,Male,295,1,58079.12,58079.12,1,1,2,4,Lost
CUST3397,Customer_101,Gaya,36-45,Male,300,1,26461.65,26461.65,1,2,1,4,Lost
CUST4169,Customer_307,Hyderabad,36-45,Female,306,1,25982,25982,1,2,1,4,Lost
CUST8467,Customer_104,Bengaluru,18-25,Male,307,1,8582.49,8582.49,1,2,1,4,Lost
CUST9776,Customer_345,Delhi,46-55,Female,308,1,34541.88,34541.88,1,2,1,4,Lost
CUST1284,Customer_375,Bengaluru,26-35,Male,308,1,105461.08,105461.08,1,1,2,4,Lost
CUST7186,Customer_150,Mumbai,36-45,Female,309,1,10625.65,10625.65,1,2,1,4,Lost
CUST5529,Customer_227,Bengaluru,26-35,Female,311,1,19808.39,19808.39,1,2,1,4,Lost
CUST6987,Customer_107,Gaya,26-35,Female,314,1,6976.56,6976.56,1,2,1,4,Lost
CUST9543,Customer_448,Bengaluru,36-45,Female,319,1,91618.18,91618.18,1,1,2,4,Lost
CUST1577,Customer_59,Delhi,36-45,Male,320,1,36943.51,36943.51,1,2,1,4,Lost
CUST3345,Customer_202,Gaya,26-35,Female,324,1,58809.5,58809.5,1,1,2,4,Lost
CUST1197,Customer_419,Pune,36-45,Male,324,1,5944.12,5944.12,1,2,1,4,Lost
CUST2051,Customer_103,Bengaluru,26-35,Male,327,1,109237.86,109237.86,1,1,2,4,Lost
CUST1399,Customer_431,Gaya,56-65,Male,339,1,74022.24,74022.24,1,1,2,4,Lost
CUST2604,Customer_356,Kolkata,36-45,Male,343,1,51372.25,51372.25,1,1,2,4,Lost
CUST3194,Customer_114,Kolkata,26-35,Male,345,1,51591.1,51591.1,1,1,2,4,Lost
CUST6037,Customer_121,Patna,26-35,Male,354,1,3586.58,3586.58,1,2,1,4,Lost
CUST4947,Customer_352,Bengaluru,56-65,Male,358,1,37605.65,37605.65,1,2,1,4,Lost
CUST8877,Customer_105,Kolkata,18-25,Female,361,1,60403.62,60403.62,1,1,2,4,Lost
CUST4849,Customer_209,Patna,26-35,Male,362,1,28812.06,28812.06,1,2,1,4,Lost
CUST7981,Customer_196,Mumbai,46-55,Male,85,1,1495.14,1495.14,3,1,1,5,Potential Loyalist
CUST1691,Customer_177,Mumbai,46-55,Male,86,1,14209.86,14209.86,3,1,1,5,Potential Loyalist
CUST7588,Customer_67,Pune,46-55,Male,89,1,27898.64,27898.64,3,1,1,5,Potential Loyalist
CUST8851,Customer_118,Kolkata,56-65,Male,94,1,3753.78,3753.78,3,1,1,5,Potential Loyalist
CUST8318,Customer_189,Kolkata,26-35,Female,99,1,6050.27,6050.27,3,1,1,5,Potential Loyalist
CUST2181,Customer_125,Bengaluru,36-45,Female,102,1,22401.12,22401.12,3,1,1,5,Potential Loyalist
CUST6654,Customer_66,Pune,36-45,Female,104,1,15439.6,15439.6,3,1,1,5,Potential Loyalist
CUST7178,Customer_478,Bengaluru,56-65,Male,107,1,16185.56,16185.56,3,1,1,5,Potential Loyalist
CUST5406,Customer_164,Kolkata,26-35,Male,112,1,47545.65,47545.65,3,1,1,5,Potential Loyalist
CUST6921,Customer_68,Patna,56-65,Female,115,1,11206.86,11206.86,3,1,1,5,Potential Loyalist
CUST9324,Customer_58,Hyderabad,56-65,Female,118,1,12494.97,12494.97,3,1,1,5,Potential Loyalist
CUST5829,Customer_37,Delhi,26-35,Male,119,1,39956.16,39956.16,3,1,1,5,Potential Loyalist
CUST9882,Customer_103,Kolkata,26-35,Female,120,1,33198,33198,3,1,1,5,Potential Loyalist
CUST5367,Customer_499,Hyderabad,18-25,Female,123,1,35099.34,35099.34,3,1,1,5,Potential Loyalist
CUST1189,Customer_490,Pune,36-45,Female,125,1,36307.74,36307.74,3,1,1,5,Potential Loyalist
CUST3212,Customer_415,Gaya,26-35,Male,146,1,42764.32,42764.32,3,1,1,5,Potential Loyalist
CUST6860,Customer_168,Bengaluru,26-35,Male,146,1,30210.72,30210.72,3,1,1,5,Potential Loyalist
CUST5133,Customer_86,Pune,56-65,Female,146,1,19382.82,19382.82,3,1,1,5,Potential Loyalist
CUST1713,Customer_457,Bengaluru,26-35,Female,147,1,31739.18,31739.18,3,1,1,5,Potential Loyalist
CUST7226,Customer_421,Mumbai,46-55,Male,147,1,3859.08,3859.08,3,1,1,5,Potential Loyalist
CUST3499,Customer_139,Mumbai,18-25,Male,173,1,40383.06,40383.06,3,1,1,5,Potential Loyalist
CUST2967,Customer_483,Mumbai,46-55,Female,175,1,36396.7,36396.7,3,1,1,5,Potential Loyalist
CUST1183,Customer_189,Gaya,18-25,Female,180,1,49324.8,49324.8,2,1,2,5,Lost
CUST9055,Customer_359,Gaya,56-65,Male,181,1,47870.04,47870.04,2,1,2,5,Lost
CUST8311,Customer_225,Bengaluru,26-35,Male,191,1,45048.9,45048.9,2,2,1,5,Lost
CUST9812,Customer_333,Pune,18-25,Female,195,1,28196.26,28196.26,2,2,1,5,Lost
CUST7177,Customer_40,Hyderabad,18-25,Male,200,1,75415.95,75415.95,2,1,2,5,Lost
CUST9900,Customer_496,Bengaluru,26-35,Male,204,1,97972.96,97972.96,2,1,2,5,Lost
CUST5318,Customer_376,Bengaluru,56-65,Male,210,1,93084.36,93084.36,2,1,2,5,Lost
CUST5168,Customer_295,Hyderabad,18-25,Male,211,1,54797.1,54797.1,2,1,2,5,Lost
CUST3602,Customer_295,Pune,46-55,Male,212,1,67401.84,67401.84,2,1,2,5,Lost
CUST1780,Customer_250,Hyderabad,56-65,Male,216,1,105473.12,105473.12,2,1,2,5,Lost
CUST8425,Customer_254,Delhi,46-55,Male,218,1,100147.38,100147.38,2,1,2,5,Lost
CUST1753,Customer_493,Hyderabad,56-65,Female,226,1,3239.94,3239.94,2,2,1,5,Lost
CUST9563,Customer_166,Gaya,18-25,Male,228,1,35133.76,35133.76,2,2,1,5,Lost
CUST4073,Customer_353,Pune,18-25,Female,229,1,92444.73,92444.73,2,1,2,5,Lost
CUST4943,Customer_198,Mumbai,26-35,Male,236,1,12420.48,12420.48,2,2,1,5,Lost
CUST4810,Customer_416,Kolkata,18-25,Male,237,1,97167.28,97167.28,2,1,2,5,Lost
CUST3820,Customer_312,Delhi,46-55,Female,237,1,100104.3,100104.3,2,1,2,5,Lost
CUST1038,Customer_454,Patna,26-35,Male,241,1,37068.4,37068.4,2,2,1,5,Lost
CUST9217,Customer_448,Delhi,36-45,Female,241,1,22073.4,22073.4,2,2,1,5,Lost
CUST5835,Customer_362,Unknown,18-25,Male,241,1,56623.16,56623.16,2,1,2,5,Lost
CUST7082,Customer_492,Bengaluru,18-25,Female,241,1,100658,100658,2,1,2,5,Lost
CUST1367,Customer_48,Bengaluru,18-25,Female,243,1,43529.29,43529.29,2,2,1,5,Lost
CUST3080,Customer_378,Pune,36-45,Female,244,1,43789.89,43789.89,2,2,1,5,Lost
CUST3867,Customer_54,Unknown,36-45,Female,250,1,25348.95,25348.95,2,2,1,5,Lost
CUST2088,Customer_382,Hyderabad,56-65,Female,250,1,24428.2,24428.2,2,2,1,5,Lost
CUST5903,Customer_396,Hyderabad,26-35,Female,251,1,13424.67,13424.67,2,2,1,5,Lost
CUST6413,Customer_490,Patna,46-55,Female,253,1,96340.16,96340.16,2,1,2,5,Lost
CUST7988,Customer_383,Mumbai,36-45,Female,256,1,3992.85,3992.85,2,2,1,5,Lost
CUST9846,Customer_298,Patna,56-65,Female,263,1,64707.84,64707.84,2,1,2,5,Lost
CUST6540,Customer_230,Kolkata,18-25,Male,267,1,87368.96,87368.96,2,1,2,5,Lost
CUST2742,Customer_216,Delhi,18-25,Female,272,1,107330.05,107330.05,2,1,2,5,Lost
CUST6531,Customer_218,Kolkata,56-65,Male,273,1,78327.66,78327.66,1,2,2,5,Lost
CUST2804,Customer_115,Pune,26-35,Female,274,1,90508.14,90508.14,1,2,2,5,Lost
CUST8575,Customer_481,Patna,18-25,Male,280,1,38929.37,38929.37,1,3,1,5,At Risk
CUST9354,Customer_241,Patna,46-55,Female,281,1,42782.38,42782.38,1,3,1,5,At Risk
CUST6828,Customer_222,Bengaluru,46-55,Male,282,1,127614.42,127614.42,1,1,3,5,Potential Loyalist
CUST6028,Customer_58,Delhi,36-45,Male,283,1,82132.92,82132.92,1,2,2,5,Lost
CUST3186,Customer_412,Delhi,56-65,Female,285,1,156219.8,156219.8,1,1,3,5,Potential Loyalist
CUST9379,Customer_263,Kolkata,36-45,Female,286,1,9009.36,9009.36,1,3,1,5,At Risk
CUST2708,Customer_57,Delhi,46-55,Male,287,1,189759.6,189759.6,1,1,3,5,Potential Loyalist
CUST8908,Customer_190,Pune,56-65,Male,290,1,2344.98,2344.98,1,3,1,5,At Risk
CUST8660,Customer_213,Patna,36-45,Female,296,1,203722.48,203722.48,1,1,3,5,Potential Loyalist
CUST8975,Customer_315,Gaya,36-45,Female,300,1,191586.8,191586.8,1,1,3,5,Potential Loyalist
CUST4651,Customer_359,Kolkata,46-55,Male,301,1,99449.28,99449.28,1,2,2,5,Lost
CUST8352,Customer_400,Gaya,36-45,Male,304,1,210254.64,210254.64,1,1,3,5,Potential Loyalist
CUST1557,Customer_87,Mumbai,36-45,Female,309,1,123371.82,123371.82,1,1,3,5,Potential Loyalist
CUST3625,Customer_382,Kolkata,46-55,Female,310,1,105841.56,105841.56,1,2,2,5,Lost
CUST1170,Customer_67,Mumbai,36-45,Male,312,1,103361.36,103361.36,1,2,2,5,Lost
CUST7371,Customer_463,Bengaluru,36-45,Female,312,1,39342.98,39342.98,1,3,1,5,At Risk
CUST9501,Customer_241,Delhi,36-45,Male,315,1,25911.09,25911.09,1,3,1,5,At Risk
CUST8859,Customer_53,Unknown,36-45,Male,315,1,141013.88,141013.88,1,1,3,5,Potential Loyalist
CUST3542,Customer_156,Patna,46-55,Male,315,1,47618.43,47618.43,1,3,1,5,At Risk
CUST2256,Customer_284,Hyderabad,46-55,Male,316,1,115969.35,115969.35,1,1,3,5,Potential Loyalist
CUST5091,Customer_375,Bengaluru,46-55,Male,317,1,213995.1,213995.1,1,1,3,5,Potential Loyalist
CUST7185,Customer_285,Delhi,56-65,Female,321,1,98255.31,98255.31,1,2,2,5,Lost
CUST6241,Customer_242,Hyderabad,46-55,Male,322,1,18127.66,18127.66,1,3,1,5,At Risk
CUST5232,Customer_395,Gaya,46-55,Male,323,1,62434.24,62434.24,1,2,2,5,Lost
CUST4629,Customer_167,Patna,36-45,Female,327,1,75833.37,75833.37,1,2,2,5,Lost
CUST8075,Customer_401,Patna,56-65,Female,328,1,38212.75,38212.75,1,3,1,5,At Risk
CUST2031,Customer_309,Gaya,36-45,Female,328,1,34616.52,34616.52,1,3,1,5,At Risk
CUST2935,Customer_26,Delhi,26-35,Male,332,1,30364.5,30364.5,1,3,1,5,At Risk
CUST2260,Customer_325,Kolkata,46-55,Male,336,1,11539.95,11539.95,1,3,1,5,At Risk
CUST4941,Customer_457,Mumbai,46-55,Female,336,1,60395.06,60395.06,1,2,2,5,Lost
CUST2457,Customer_462,Kolkata,46-55,Male,337,1,43633.34,43633.34,1,3,1,5,At Risk
CUST8841,Customer_407,Patna,36-45,Female,337,1,174065.2,174065.2,1,1,3,5,Potential Loyalist
CUST6762,Customer_235,Delhi,46-55,Male,339,1,10934.02,10934.02,1,3,1,5,At Risk
CUST6142,Customer_410,Patna,36-45,Male,341,1,128393.8,128393.8,1,1,3,5,Potential Loyalist
CUST9619,Customer_491,Pune,26-35,Male,345,1,3839.04,3839.04,1,3,1,5,At Risk
CUST8537,Customer_494,Hyderabad,46-55,Female,346,1,39400.4,39400.4,1,3,1,5,At Risk
CUST3522,Customer_67,Bengaluru,18-25,Male,347,1,30869.01,30869.01,1,3,1,5,At Risk
CUST8722,Customer_475,Mumbai,18-25,Male,356,1,196134.84,196134.84,1,1,3,5,Potential Loyalist
CUST5505,Customer_189,Bengaluru,36-45,Female,357,1,210141.3,210141.3,1,1,3,5,Potential Loyalist
CUST4414,Customer_194,Delhi,46-55,Female,357,1,15617.29,15617.29,1,3,1,5,At Risk
CUST6578,Customer_194,Hyderabad,56-65,Female,358,1,19202.88,19202.88,1,3,1,5,At Risk
CUST1175,Customer_472,Gaya,18-25,Female,360,1,113673.3,113673.3,1,1,3,5,Potential Loyalist
CUST2632,Customer_321,Kolkata,56-65,Male,360,1,67601.66,67601.66,1,2,2,5,Lost
CUST7187,Customer_149,Patna,36-45,Male,363,1,16633.85,16633.85,1,3,1,5,At Risk
CUST1840,Customer_90,Kolkata,36-45,Female,366,1,23787.6,23787.6,1,3,1,5,At Risk
CUST1090,Customer_316,Unknown,36-45,Female,2,1,5263.79,5263.79,4,1,1,6,New / Recent
CUST5160,Customer_144,Delhi,46-55,Female,9,1,1961.91,1961.91,4,1,1,6,New / Recent
CUST1246,Customer_165,Kolkata,56-65,Female,16,1,2094.36,2094.36,4,1,1,6,New / Recent
CUST9871,Customer_187,Pune,26-35,Female,17,1,34690.3,34690.3,4,1,1,6,New / Recent
CUST8811,Customer_115,Bengaluru,46-55,Female,21,1,44708.5,44708.5,4,1,1,6,New / Recent
CUST4565,Customer_359,Delhi,56-65,Female,26,1,23886.69,23886.69,4,1,1,6,New / Recent
CUST4926,Customer_102,Delhi,36-45,Male,37,1,13050.5,13050.5,4,1,1,6,New / Recent
CUST6944,Customer_460,Gaya,26-35,Male,60,1,34742.76,34742.76,4,1,1,6,New / Recent
CUST7173,Customer_44,Hyderabad,18-25,Male,61,1,47212.5,47212.5,4,1,1,6,New / Recent
CUST3685,Customer_94,Delhi,18-25,Female,68,1,35489.21,35489.21,4,1,1,6,New / Recent
CUST2562,Customer_280,Bengaluru,56-65,Male,72,1,437.34,437.34,4,1,1,6,New / Recent
CUST6421,Customer_218,Gaya,18-25,Male,81,1,38696.65,38696.65,4,1,1,6,New / Recent
CUST3189,Customer_384,Kolkata,26-35,Female,83,1,69219.64,69219.64,3,1,2,6,Potential Loyalist
CUST7600,Customer_208,Pune,18-25,Male,84,1,42736.43,42736.43,3,2,1,6,Potential Loyalist
CUST3851,Customer_487,Delhi,56-65,Male,92,1,29862.4,29862.4,3,2,1,6,Potential Loyalist
CUST2862,Customer_122,Bengaluru,18-25,Male,103,1,74724.16,74724.16,3,1,2,6,Potential Loyalist
CUST9650,Customer_361,Hyderabad,26-35,Female,105,1,17299.04,17299.04,3,2,1,6,Potential Loyalist
CUST8036,Customer_173,Patna,36-45,Male,110,1,22254.12,22254.12,3,2,1,6,Potential Loyalist
CUST9614,Customer_235,Bengaluru,18-25,Male,111,1,84656.2,84656.2,3,1,2,6,Potential Loyalist
CUST7801,Customer_150,Pune,36-45,Male,114,1,43373.54,43373.54,3,2,1,6,Potential Loyalist
CUST6336,Customer_63,Delhi,46-55,Male,116,1,26771.99,26771.99,3,2,1,6,Potential Loyalist
CUST6511,Customer_15,Mumbai,46-55,Male,121,1,54039.78,54039.78,3,1,2,6,Potential Loyalist
CUST5136,Customer_257,Mumbai,26-35,Male,125,1,16506.48,16506.48,3,2,1,6,Potential Loyalist
CUST4673,Customer_386,Delhi,36-45,Female,126,1,81396.85,81396.85,3,1,2,6,Potential Loyalist
CUST9259,Customer_276,Hyderabad,26-35,Male,133,1,70840.92,70840.92,3,1,2,6,Potential Loyalist
CUST5607,Customer_265,Gaya,56-65,Female,134,1,13129.64,13129.64,3,2,1,6,Potential Loyalist
CUST4601,Customer_82,Hyderabad,46-55,Female,138,1,5053.68,5053.68,3,2,1,6,Potential Loyalist
CUST4881,Customer_389,Patna,26-35,Male,146,1,5629.1,5629.1,3,2,1,6,Potential Loyalist
CUST2697,Customer_155,Hyderabad,46-55,Male,147,1,83144.7,83144.7,3,1,2,6,Potential Loyalist
CUST8347,Customer_236,Hyderabad,46-55,Male,154,1,12255.87,12255.87,3,2,1,6,Potential Loyalist
CUST2003,Customer_48,Mumbai,26-35,Female,154,1,47674.82,47674.82,3,2,1,6,Potential Loyalist
CUST2586,Customer_386,Pune,56-65,Male,159,1,84954.25,84954.25,3,1,2,6,Potential Loyalist
CUST8065,Customer_92,Kolkata,46-55,Male,161,1,89054.9,89054.9,3,1,2,6,Potential Loyalist
CUST4758,Customer_372,Pune,56-65,Male,162,1,66288.95,66288.95,3,1,2,6,Potential Loyalist
CUST2236,Customer_173,Pune,56-65,Male,164,1,26010.12,26010.12,3,2,1,6,Potential Loyalist
CUST4997,Customer_371,Hyderabad,26-35,Male,165,1,45063.04,45063.04,3,2,1,6,Potential Loyalist
CUST4215,Customer_103,Delhi,26-35,Male,165,1,110511.99,110511.99,3,1,2,6,Potential Loyalist
CUST2202,Customer_26,Patna,26-35,Female,166,1,80260.42,80260.42,3,1,2,6,Potential Loyalist
CUST4705,Customer_53,Hyderabad,36-45,Female,168,1,29838.32,29838.32,3,2,1,6,Potential Loyalist
CUST6236,Customer_312,Kolkata,36-45,Female,171,1,17039.73,17039.73,3,2,1,6,Potential Loyalist
CUST5743,Customer_248,Gaya,26-35,Male,171,1,86401.08,86401.08,3,1,2,6,Potential Loyalist
CUST3794,Customer_315,Hyderabad,26-35,Female,175,1,103917.5,103917.5,3,1,2,6,Potential Loyalist
CUST6927,Customer_165,Gaya,18-25,Male,177,1,86462,86462,3,1,2,6,Potential Loyalist
CUST2378,Customer_95,Hyderabad,46-55,Male,178,1,19026.35,19026.35,3,2,1,6,Potential Loyalist
CUST8364,Customer_325,Hyderabad,18-25,Male,179,1,85364.44,85364.44,3,1,2,6,Potential Loyalist
CUST8834,Customer_413,Mumbai,56-65,Female,181,1,73262.46,73262.46,2,2,2,6,Lost
CUST7944,Customer_282,Unknown,36-45,Male,185,1,171571.86,171571.86,2,1,3,6,Potential Loyalist
CUST4034,Customer_271,Kolkata,26-35,Female,186,1,85717.2,85717.2,2,2,2,6,Lost
CUST4431,Customer_177,Gaya,18-25,Male,187,1,30519.5,30519.5,2,3,1,6,At Risk
CUST5600,Customer_176,Bengaluru,26-35,Male,190,1,143878.14,143878.14,2,1,3,6,Potential Loyalist
CUST3138,Customer_440,Mumbai,26-35,Female,194,1,104971.05,104971.05,2,2,2,6,Lost
CUST6522,Customer_468,Mumbai,56-65,Male,195,1,107317.63,107317.63,2,2,2,6,Lost
CUST6162,Customer_165,Mumbai,36-45,Male,197,1,31849.44,31849.44,2,3,1,6,At Risk
CUST7494,Customer_188,Mumbai,26-35,Female,198,1,107028.9,107028.9,2,2,2,6,Lost
CUST9485,Customer_43,Mumbai,56-65,Male,201,1,85037.6,85037.6,2,2,2,6,Lost
CUST5615,Customer_56,Bengaluru,56-65,Female,202,1,7583.96,7583.96,2,3,1,6,At Risk
CUST1419,Customer_226,Mumbai,26-35,Male,204,1,54878.34,54878.34,2,2,2,6,Lost
CUST9493,Customer_34,Gaya,26-35,Male,205,1,127543.5,127543.5,2,1,3,6,Potential Loyalist
CUST7059,Customer_224,Delhi,46-55,Female,208,1,13776.48,13776.48,2,3,1,6,At Risk
CUST7903,Customer_163,Bengaluru,56-65,Female,214,1,101295.36,101295.36,2,2,2,6,Lost
CUST3744,Customer_2,Mumbai,18-25,Female,215,1,93190.71,93190.71,2,2,2,6,Lost
CUST4094,Customer_382,Hyderabad,46-55,Male,216,1,178309.16,178309.16,2,1,3,6,Potential Loyalist
CUST4777,Customer_233,Gaya,56-65,Female,234,1,21001.73,21001.73,2,3,1,6,At Risk
CUST1316,Customer_3,Delhi,36-45,Female,235,1,16249.69,16249.69,2,3,1,6,At Risk
CUST4062,Customer_23,Mumbai,56-65,Female,237,1,8906.18,8906.18,2,3,1,6,At Risk
CUST3004,Customer_162,Pune,46-55,Female,239,1,3971.35,3971.35,2,3,1,6,At Risk
CUST9027,Customer_153,Mumbai,36-45,Female,240,1,25767.92,25767.92,2,3,1,6,At Risk
CUST4417,Customer_234,Mumbai,46-55,Male,241,1,6280.83,6280.83,2,3,1,6,At Risk
CUST1453,Customer_60,Gaya,46-55,Male,242,1,42816.6,42816.6,2,3,1,6,At Risk
CUST3464,Customer_1,Bengaluru,18-25,Female,243,1,172829.92,172829.92,2,1,3,6,Potential Loyalist
CUST5025,Customer_159,Patna,26-35,Female,243,1,20875.52,20875.52,2,3,1,6,At Risk
CUST3603,Customer_448,Delhi,56-65,Female,251,1,15061.67,15061.67,2,3,1,6,At Risk
CUST7110,Customer_176,Hyderabad,56-65,Male,253,1,3953.8,3953.8,2,3,1,6,At Risk
CUST6260,Customer_455,Gaya,36-45,Male,253,1,105954.6,105954.6,2,2,2,6,Lost
CUST2744,Customer_300,Bengaluru,26-35,Male,254,1,76084.8,76084.8,2,2,2,6,Lost
CUST2714,Customer_98,Gaya,56-65,Female,254,1,202444.83,202444.83,2,1,3,6,Potential Loyalist
CUST6348,Customer_412,Kolkata,18-25,Female,254,1,92286.1,92286.1,2,2,2,6,Lost
CUST5516,Customer_343,Kolkata,18-25,Male,256,1,211333.38,211333.38,2,1,3,6,Potential Loyalist
CUST6938,Customer_344,Kolkata,36-45,Female,257,1,119662.88,119662.88,2,1,3,6,Potential Loyalist
CUST4317,Customer_498,Delhi,46-55,Female,260,1,144969.64,144969.64,2,1,3,6,Potential Loyalist
CUST1312,Customer_40,Kolkata,26-35,Male,261,1,144194.72,144194.72,2,1,3,6,Potential Loyalist
CUST2006,Customer_131,Kolkata,46-55,Male,261,1,3310.72,3310.72,2,3,1,6,At Risk
CUST9158,Customer_297,Gaya,56-65,Male,266,1,22073.28,22073.28,2,3,1,6,At Risk
CUST7659,Customer_445,Patna,18-25,Male,267,1,49067.82,49067.82,2,2,2,6,Lost
CUST2137,Customer_57,Mumbai,36-45,Female,272,1,91115.3,91115.3,2,2,2,6,Lost
CUST6625,Customer_121,Hyderabad,18-25,Male,273,1,121251.76,121251.76,1,2,3,6,Potential Loyalist
CUST3576,Customer_397,Hyderabad,46-55,Male,275,1,321187.65,321187.65,1,1,4,6,Potential Loyalist
CUST9111,Customer_235,Kolkata,56-65,Female,275,1,153103.75,153103.75,1,2,3,6,Potential Loyalist
CUST9047,Customer_363,Patna,36-45,Male,275,1,325228.19,325228.19,1,1,4,6,Potential Loyalist
CUST3107,Customer_99,Kolkata,18-25,Female,280,1,28766.56,28766.56,1,4,1,6,At Risk
CUST9304,Customer_216,Bengaluru,36-45,Female,281,1,64664.54,64664.54,1,3,2,6,At Risk
CUST8200,Customer_147,Patna,18-25,Female,281,1,97801.84,97801.84,1,3,2,6,At Risk
CUST7628,Customer_120,Bengaluru,56-65,Male,283,1,160299.54,160299.54,1,2,3,6,Potential Loyalist
CUST7625,Customer_251,Patna,46-55,Female,285,1,17409.33,17409.33,1,4,1,6,At Risk
CUST6684,Customer_426,Bengaluru,56-65,Male,286,1,193199.4,193199.4,1,2,3,6,Potential Loyalist
CUST6504,Customer_357,Kolkata,26-35,Male,288,1,190162.88,190162.88,1,2,3,6,Potential Loyalist
CUST8325,Customer_16,Bengaluru,56-65,Female,289,1,324318.12,324318.12,1,1,4,6,Potential Loyalist
CUST5455,Customer_287,Bengaluru,26-35,Male,291,1,86715.66,86715.66,1,3,2,6,At Risk
CUST2290,Customer_195,Mumbai,56-65,Male,291,1,48677.96,48677.96,1,3,2,6,At Risk
CUST2480,Customer_491,Gaya,56-65,Female,296,1,20740.93,20740.93,1,4,1,6,At Risk
